statistic_yyy,district_code,site_id,village,edu_age_15up_total,edu_doctor_graduated_m,edu_doctor_graduated_f,edu_doctor_ungraduated_m,edu_doctor_ungraduated_f,edu_master_graduated_m,edu_master_graduated_f,edu_master_ungraduated_m,edu_master_ungraduated_f,edu_university_graduated_m,edu_university_graduated_f,edu_university_ungraduated_m,edu_university_ungraduated_f,edu_juniorcollege_2ys_graduated_m,edu_juniorcollege_2ys_graduated_f,edu_juniorcollege_2ys_ungraduated_m,edu_juniorcollege_2ys_ungraduated_f,edu_juniorcollege_5ys_final2y_graduated_m,edu_juniorcollege_5ys_final2y_graduated_f,edu_juniorcollege_5ys_final2y_ungraduated_m,edu_juniorcollege_5ys_final2y_ungraduated_f,edu_senior_graduated_m,edu_senior_graduated_f,edu_senior_ungraduated_m,edu_senior_ungraduated_f,edu_seniorvocational_graduated_m,edu_seniorvocational_graduated_f,edu_seniorvocational_ungraduated_m,edu_seniorvocational_ungraduated_f,edu_juniorcollege_5ys_first3y_ungraduated_m,edu_juniorcollege_5ys_first3y_ungraduated_f,edu_junior_graduated_m,edu_junior_graduated_f,edu_junior_ungraduated_m,edu_junior_ungraduated_f,edu_juniorvocational_graduated_m,edu_juniorvocational_graduated_f,edu_juniorvocational_ungraduated_m,edu_juniorvocational_ungraduated_f,edu_primary_graduated_m,edu_primary_graduated_f,edu_primary_ungraduated_m,edu_primary_ungraduated_f,edu_selftaughtl_m,edu_selftaughtl_f,edu_illiterate_m,edu_illiterate_f
統計年,區域別代碼,區域別,村里名稱,總計,博畢_男,博畢_女,博肄_男,博肄_女,碩畢_男,碩畢_女,碩肄_男,碩肄_女,大畢_男,大畢_女,大肄_男,大肄_女,二畢_男,二畢_女,二肄_男,二肄_女,後二畢_男,後二畢_女,後二肄_男,後二肄_女,高畢_男,高畢_女,高肄_男,高肄_女,職畢_男,職畢_女,職肄_男,職肄_女,前三肄_男,前三肄_女,國畢_男,國畢_女,國肄_男,國肄_女,初畢_男,初畢_女,初肄_男,初肄_女,小畢_男,小畢_女,小肄_男,小肄_女,自修_男,自修_女,不識_男,不識_女
108,63000020009,臺北市信義區,安康里,9009,101,52,37,17,713,572,105,101,1447,1730,344,304,215,326,10,10,220,302,0,2,231,315,130,165,282,457,53,38,5,11,89,177,59,54,3,5,3,5,69,182,13,25,5,9,1,15
108,63000020010,臺北市信義區,六藝里,3290,14,6,11,0,166,101,30,39,377,475,174,111,109,123,6,2,79,90,0,1,134,122,50,42,194,208,39,30,5,8,95,117,25,15,3,5,1,0,67,165,5,17,2,16,2,9
108,63000020011,臺北市信義區,雅祥里,4540,32,10,8,7,274,188,51,40,561,699,181,159,129,164,13,7,134,137,1,1,140,121,65,44,259,298,47,38,8,9,130,130,27,23,3,2,1,4,102,244,8,16,2,5,1,17
108,63000020012,臺北市信義區,五常里,3265,18,1,6,2,182,118,37,25,450,440,113,118,107,141,7,4,114,94,1,2,104,111,34,38,167,248,25,19,2,13,83,98,9,18,0,5,2,2,84,175,6,15,2,9,1,15
108,63000020013,臺北市信義區,五全里,4403,14,11,11,6,218,174,49,30,585,707,151,125,126,156,14,8,158,147,4,1,128,168,42,53,248,296,38,26,9,10,105,131,18,28,4,5,2,3,103,240,7,17,0,11,2,14
108,63000020014,臺北市信義區,永吉里,3591,8,3,1,3,113,84,17,17,396,456,164,138,92,79,6,10,101,56,1,1,145,109,43,43,261,234,54,28,6,16,202,189,20,21,3,5,3,2,140,224,13,21,2,20,3,38
108,63000020015,臺北市信義區,長春里,3929,15,5,4,4,156,89,29,22,481,559,206,128,102,129,5,7,107,95,2,1,151,156,45,32,249,268,38,37,2,9,137,164,17,17,8,8,6,3,132,242,7,24,1,10,4,16
108,63000020016,臺北市信義區,四育里,5020,20,5,13,4,242,175,47,33,694,726,213,155,166,160,6,5,156,133,2,4,178,189,54,46,306,369,45,32,6,10,137,203,18,27,7,5,1,2,111,258,7,20,2,12,3,13
108,63000020017,臺北市信義區,四維里,4837,26,14,7,9,268,173,68,44,743,791,157,150,123,159,10,10,142,155,3,1,159,172,60,46,268,349,40,22,6,12,92,146,17,26,5,5,1,4,81,209,10,19,2,13,2,18
108,63000020018,臺北市信義區,永春里,4472,13,8,15,9,241,151,39,31,561,685,199,145,135,149,11,6,123,119,5,0,143,160,60,43,253,290,45,25,4,16,127,146,24,32,7,2,2,2,103,271,12,24,4,5,1,26
108,63000020019,臺北市信義區,富台里,3940,13,15,13,7,251,195,38,48,522,714,169,141,99,170,5,4,137,125,0,2,123,130,64,66,145,233,31,22,2,5,61,89,25,22,2,1,1,2,53,148,4,15,1,8,2,17
108,63000020020,臺北市信義區,國業里,6648,38,16,21,7,462,330,87,61,1002,1165,283,237,188,244,17,9,187,230,0,3,186,227,110,84,229,382,68,50,7,14,88,188,25,42,2,6,5,7,88,217,7,7,1,5,2,14
